   OBS          S0          Sg
   478      -.19041      .97476
   479       .07651     1.09044
   480       .11204     1.17752
   481       .78800     1.24563
   482      1.44613     1.28051
   483      1.84452     1.29308
   484      1.56921     1.26881
   485      1.43495     1.21776
   486      1.86834     1.12528
   487      2.13420     1.00327
   488      2.82852      .84097
   489      2.28616      .65527
   490       .47410      .44000
   491     -1.40488      .21479
   492     -1.71917     -.02585
   493     -1.29430     -.26288
   494      -.98360     -.50227
   495      -.68594     -.72412
   496      -.93237     -.93210
   497     -1.35445    -1.10370
   498      -.70843    -1.24141
   499      -.87968    -1.32446
   500     -1.23735    -1.36035
   501     -1.11853    -1.33545
   502      -.75327    -1.26457
   503     -1.15911    -1.13971
   504      -.99012     -.97890
   505      -.66771     -.77571
   506      -.37298     -.54965
   507      -.53318     -.29715
   508      -.20824     -.04230
   509       .19414      .21342
   510       .50098      .44258
   511       .73185      .64403
   512      1.20635      .79494
   513      1.13330      .90192
   514      1.03616      .95055
   515       .88327      .95406
   516       .88420      .90181
   517       .45481      .80866
   518      -.01943      .66552
   519       .20372      .49086
   520       .09687      .28199
   521       .46812      .06526
   522       .75247     -.15551
   523       .64363     -.35177
   524      -.58135     -.52314
   525     -1.31027     -.64902
   526     -1.76282     -.73845
   527     -1.51293     -.77834
   528     -1.05759     -.78134
   529     -1.29257     -.73473
   530       .02808     -.65113
   531       .28648     -.52069
   532       .44297     -.36350
   533       .27744     -.18050
   534       .18136     -.00190
   535       .14584      .16660
   536       .35195      .29825
   537       .16899      .39838
   538       .05030      .45453
   539      -.09048      .48368
   540      -.10925      .47801
   541       .69539      .45163
   542       .47490      .39030
   543       .19893      .30460
   544       .09341      .18496
   545       .22607      .05578
   546      -.09208     -.07414
   547       .02049     -.16608
   548       .00599     -.20962
   549      -.08303     -.18120
   550      -.38096     -.09940
   551      -.15795      .02600
   552       .13240      .15107
